CAMIS,Longitude,Latitude,Source,Dataset Date,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,geo_key,ditance,distance
41672058,-74.00198602,40.73578713,TIGER/ArcMap,5/15/2015,SATURDAYS SURF,MANHATTAN,17        ,PERRY STREET                                      ,10014.0,2129667815,Café/Coffee/Tea,09/16/2013,Violations were cited in the following area(s).,20F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,50.0,C,09/03/2013,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.735787129999999, -74.001986020000004)",0.141542543493,0.141542543493
41672122,-73.96587442,40.79500456,TIGER/ArcMap,5/15/2015,STARBUCKS COFFEE,MANHATTAN,805,COLUMBUS AVENUE,10025.0,2122226582,Café/Coffee/Tea,08/09/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,08/09/2013,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.795004560000002, -73.965874420000006)",0.389799514805,0.389799514805
41672199,-74.00308851,40.73124702,TIGER/ArcMap,5/15/2015,MURRAY'S CHEESE BAR,MANHATTAN,264       ,BLEECKER STREET                                   ,10014.0,6464768882,American ,10/09/2012,Violations were cited in the following area(s).,10H,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,22.0,A,10/09/2012,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.731247019999998, -74.003088509999998)",0.459862627822,0.459862627822
41672275,-73.99313457,40.68266603,TIGER/ArcMap,5/15/2015,DASSARA,BROOKLYN,271,SMITH STREET,11231.0,7186430781,Japanese,10/16/2014,Violations were cited in the following area(s).,10H,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Not Critical,28.0,Z,10/16/2014,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.68266603, -73.993134569999995)",0.191544299858,0.191544299858
41673105,-73.98826788,40.75497211,TIGER/ArcMap,5/15/2015,HALE & HEARTY,MANHATTAN,213,WEST   40 STREET,10018.0,6467819005,American ,10/19/2012,Violations were cited in the following area(s).,10F,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Not Critical,13.0,A,10/19/2012,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.754972109999997, -73.988267879999995)",0.0927660331146,0.0927660331146
41673175,-73.95361071,40.8037425,TIGER/ArcMap,5/15/2015,REATAURANT LA SAVANE,MANHATTAN,239       ,WEST  116 STREET                                  ,10026.0,6464904644,African,08/09/2012,Violations were cited in the following area(s).,10F,Thawing procedures improper.,Not Critical,32.0,A,08/09/2012,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.803742499999998, -73.953610710000007)",0.251139688097,0.251139688097
41673782,-73.96342624,40.79836553,TIGER/ArcMap,5/15/2015,IMPERIAL PIZZERIA RESTAURANT,MANHATTAN,913       ,COLUMBUS AVENUE                                   ,10025.0,2126633222,Pizza,12/28/2012,Violations were cited in the following area(s).,20F,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,58.0,C,08/08/2012,07/04/2015,Trans Fat / Initial Inspection,"(40.798365529999998, -73.963426240000004)",0.236760007296,0.236760007296
41673743,-73.96680363,40.79882447,TIGER/ArcMap,5/15/2015,BIG APPLE CAFE,MANHATTAN,891,AMSTERDAM AVENUE,10025.0,9737221147,Café/Coffee/Tea,09/06/2012,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,27.0,A,09/06/2012,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.79882447, -73.966803630000001)",0.122883482372,0.122883482372
41673850,-74.00000815,40.68437205,TIGER/ArcMap,5/15/2015,TAKE ROOT,BROOKLYN,187,SACKETT STREET,11231.0,3472277116,American ,06/09/2015,Violations were cited in the following area(s).,20D,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,10.0,A,06/09/2015,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.68437205, -74.000008149999999)",0.383041958709,0.383041958709
41673898,-73.98471351,40.73057748,TIGER/ArcMap,5/15/2015,THAI TERMINAL,MANHATTAN,349,EAST   12 STREET,10003.0,2126140155,Thai,12/23/2014,Violations were cited in the following area(s).,22C,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Not Critical,80.0,Z,08/20/2014,07/04/2015,Trans Fat / Re-inspection,"(40.730577480000001, -73.984713510000006)",0.394260983297,0.394260983297
41674131,-74.00128161,40.72154826,TIGER/ArcMap,5/15/2015,GALLI RESTAURANT,MANHATTAN,45,MERCER STREET,10013.0,2129669288,Italian,12/04/2012,Violations were cited in the following area(s).,20F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,53.0,Z,08/30/2013,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.721548259999999, -74.001281610000007)",0.141856608937,0.141856608937
41673993,-73.98980002,40.73364207,TIGER/ArcMap,5/15/2015,GLAZE TERIYAKI GRILL,MANHATTAN,139,4 AVENUE,10003.0,2124209400,Japanese,12/27/2013,Violations were cited in the following area(s).,10F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,26.0,A,12/27/2013,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.733642070000002, -73.989800020000004)",0.0715768054064,0.0715768054064
41674573,-73.98742628,40.74790779,TIGER/ArcMap,5/15/2015,5BAR KARAOKE,MANHATTAN,38        ,WEST   32 STREET                                  ,10001.0,2125946644,Korean,12/26/2012,Violations were cited in the following area(s).,16B,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,57.0,B,09/03/2013,07/04/2015,Trans Fat / Initial Inspection,"(40.747907789999999, -73.987426279999994)",0.333293210013,0.333293210013
41674562,-74.004548,40.72135542,TIGER/ArcMap,5/15/2015,EVERYMAN ESPRESSO,MANHATTAN,301,WEST BROADWAY,10013.0,9179417635,Café/Coffee/Tea,09/19/2012,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,9.0,A,09/19/2012,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.721355420000002, -74.004548)",0.192643428091,0.192643428091
41674628,-74.00751221,40.71312327,TIGER/ArcMap,5/15/2015,MANHATTAN PROPER,MANHATTAN,6         ,MURRAY STREET                                     ,10007.0,6465594445,American ,12/30/2014,Violations were cited in the following area(s).,10F,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,12/30/2014,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.713123269999997, -74.007512210000002)",0.348933417051,0.348933417051
41674832,-73.99148626,40.74969761,TIGER/ArcMap,5/15/2015,CHARLEY'S GRILLED SUBS,MANHATTAN,401,7TH AVE,10001.0,2125947817,American ,10/10/2012,Violations were cited in the following area(s).,22C,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8.0,A,10/10/2012,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.749697609999998, -73.991486260000002)",0.100359580476,0.100359580476
41676090,-73.98603461,40.74998537,TIGER/ArcMap,5/15/2015,HAMPTON INN EMPIRE STATE BUILDING,MANHATTAN,59        ,WEST   35 STREET                                  ,10001.0,2125643688,American ,10/29/2014,Violations were cited in the following area(s).,20D,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,35.0,A,10/29/2014,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.749985369999997, -73.986034610000004)",0.350950918817,0.350950918817
41676787,-74.00103153,40.72577362,TIGER/ArcMap,5/15/2015,CHOBANI SOHO,MANHATTAN,150,PRINCE STREET,10012.0,6073371246,American ,04/11/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,04/11/2014,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.725773619999998, -74.001031530000006)",0.432795109313,0.432795109313
41677130,-73.96287171,40.79912266,TIGER/ArcMap,5/15/2015,SAIGUETTE,MANHATTAN,935,COLUMBUS AVENUE,10025.0,2128666888,Vietnamese/Cambodian/Malaysia,12/24/2013,Violations were cited in the following area(s).,10H,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,12.0,A,12/24/2013,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.799122660000002, -73.962871710000002)",0.232195698485,0.232195698485
41677255,-73.99186898,40.75958955,TIGER/ArcMap,5/15/2015,BLOSSOM DU JOUR,MANHATTAN,617       ,9 AVENUE                                          ,10036.0,6469983535,Vegetarian,12/24/2013,Violations were cited in the following area(s).,20F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,45.0,C,09/17/2014,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.759589550000001, -73.991868980000007)",0.38693143072,0.38693143072
41678422,-73.9891162,40.74784993,TIGER/ArcMap,5/15/2015,GREGORY'S COFFEE,MANHATTAN,874,AVENUE OF THE AMERICAS,10001.0,6464763838,Café/Coffee/Tea,12/30/2014,Violations were cited in the following area(s).,10F,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,26.0,Z,12/30/2014,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.747849930000001, -73.989116199999998)",0.253696443714,0.253696443714
41678553,-73.9951348,40.75000857,TIGER/ArcMap,5/15/2015,JESSIE'S EXPRESS CAFE,MANHATTAN,411       ,8 AVENUE                                          ,10001.0,2122551266,Sandwiches/Salads/Mixed Buffet,12/16/2014,Violations were cited in the following area(s).,20F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,32.0,C,12/06/2013,07/04/2015,Trans Fat / Second Compliance Inspection,"(40.750008569999999, -73.995134800000002)",0.0964477228676,0.0964477228676
41678685,-73.99469295,40.72059682,TIGER/ArcMap,5/15/2015,THE BUTCHER'S DAUGHTER,MANHATTAN,19,KENMARE STREET,10012.0,2122193434,Vegetarian,12/20/2013,Violations were cited in the following area(s).,10F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,23.0,A,08/06/2014,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.720596819999997, -73.994692950000001)",0.379063267431,0.379063267431
41678691,-73.98907411,40.74813375,TIGER/ArcMap,5/15/2015,GOLF & BODY NYC,MANHATTAN,883,6 AVENUE,10001.0,2122442626,American ,09/04/2013,Violations were cited in the following area(s).,20D,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,21.0,A,09/04/2013,07/04/2015,Trans Fat / Initial Inspection,"(40.748133750000001, -73.989074110000004)",0.247184699502,0.247184699502
41678934,-73.99726251,40.73666245,TIGER/ArcMap,5/15/2015,MEATBALL OBSESSION,MANHATTAN,510,AVENUE OF THE AMERICAS,10011.0,2122608646,American ,11/21/2012,Violations were cited in the following area(s).,18D,Toilet facility not provided for employees or for patrons when required.,Not Critical,40.0,P,11/21/2012,07/04/2015,Pre-permit (Operational) / Reopening Inspection,"(40.736662449999997, -73.997262509999999)",0.245861110939,0.245861110939
41678997,-74.01117481,40.71519048,TIGER/ArcMap,5/15/2015,CHIPOTLE MEXICAN GRILL,MANHATTAN,275,GREENWICH STREET,10007.0,6464123981,Mexican,12/23/2014,Violations were cited in the following area(s).,22B,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,25.0,Z,10/15/2014,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.715190479999997, -74.01117481)",0.325897540324,0.325897540324
41679172,-74.00264657,40.73075636,TIGER/ArcMap,5/15/2015,"BISOUS, CIAO",MANHATTAN,235,BLEECKER STREET,10014.0,2126756366,Bakery,11/20/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,58.0,A,11/20/2014,07/04/2015,Smoke-Free Air Act / Initial Inspection,"(40.730756360000001, -74.002646569999996)",0.490399967862,0.490399967862
41679736,-73.98139777,40.75533383,TIGER/ArcMap,5/15/2015,ROYALTON HOTEL,MANHATTAN,44        ,WEST   44 STREET                                  ,10036.0,2129448844,American ,09/21/2012,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,47.0,A,09/21/2012,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.755333829999998, -73.981397770000001)",0.444151091901,0.444151091901
41679739,-73.99784375,40.75310212,TIGER/ArcMap,5/15/2015,FRAME GOURMET EATERY,MANHATTAN,424       ,WEST   33 STREET                                  ,10001.0,2122733730,American ,11/10/2014,Violations were cited in the following area(s).,20F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,52.0,B,10/07/2013,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.753102120000001, -73.997843750000001)",0.337786440944,0.337786440944
41680151,-74.00264073,40.73260116,TIGER/ArcMap,5/15/2015,BARROW STREET ALEHOUSE,MANHATTAN,15,BARROW STREET,10014.0,2126916127,American ,09/13/2012,Violations were cited in the following area(s).,22C,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,23.0,A,09/13/2012,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.732601160000002, -74.002640729999996)",0.363964282309,0.363964282309
41680163,-73.98981849,40.75469362,TIGER/ArcMap,5/15/2015,Kabila Cafe,MANHATTAN,250       ,WEST   39 STREET                                  ,10018.0,6463510988,Sandwiches/Salads/Mixed Buffet,09/20/2012,Violations were cited in the following area(s).,10F,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Not Critical,12.0,A,09/20/2012,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.754693619999998, -73.989818490000005)",0.0328366329875,0.0328366329875
41680471,-73.99497559,40.72080509,TIGER/ArcMap,5/15/2015,LITTLE RASCAL,MANHATTAN,163,ELIZABETH STREET,10012.0,2129660446,Turkish,12/11/2014,Violations were cited in the following area(s).,20D,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,18.0,A,07/01/2014,07/04/2015,Smoke-Free Air Act / Re-inspection,"(40.720805089999999, -73.994975589999996)",0.367699507326,0.367699507326
41680534,-73.98722112,40.74467403,TIGER/ArcMap,5/15/2015,COMEBUY,MANHATTAN,251       ,5 AVENUE                                          ,10016.0,2125326979,Café/Coffee/Tea,11/14/2012,Violations were cited in the following area(s).,10F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,16.0,A,11/14/2012,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.744674029999999, -73.987221120000001)",0.467792646537,0.467792646537
41680592,-73.99349261,40.71699975,TIGER/ArcMap,5/15/2015,SPICY VILLAGE,MANHATTAN,68        ,FORSYTH STREET                                    ,10002.0,2126258299,Chinese,12/05/2014,Violations were cited in the following area(s).,10F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,21.0,A,12/05/2014,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.716999749999999, -73.993492610000004)",0.468499769473,0.468499769473
41681181,-73.99009143,40.73765939,TIGER/ArcMap,5/15/2015,CLARKE'S STANDARD,MANHATTAN,870,BROADWAY,10003.0,2125299100,Hamburgers,09/17/2014,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,22.0,A,09/17/2014,07/04/2015,Trans Fat / Initial Inspection,"(40.737659389999997, -73.990091430000007)",0.206200250457,0.206200250457
41681319,-73.98466812,40.73055833,TIGER/ArcMap,5/15/2015,DUCKS EATERY,MANHATTAN,351       ,EAST   12 STREET                                  ,10003.0,2124323825,American ,12/05/2012,Violations were cited in the following area(s).,15L,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,28.0,B,11/05/2014,07/04/2015,Trans Fat / Initial Inspection,"(40.730558330000001, -73.984668119999995)",0.396870259928,0.396870259928
41682041,-73.98792098,40.76500328,TIGER/ArcMap,5/15/2015,NY FRESH PIZZA,MANHATTAN,787       ,9 AVENUE                                          ,10019.0,2125862600,Pizza,12/30/2013,Violations were cited in the following area(s).,22C,Proper sanitization not provided for utensil ware washing operation.,Not Critical,19.0,A,12/30/2013,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.765003280000002, -73.987920979999998)",0.38590041588,0.38590041588
41682709,-73.99783724,40.71416119,TIGER/ArcMap,5/15/2015,APOTHEKE,MANHATTAN,9,DOYERS STREET,10013.0,2124060400,American ,10/29/2013,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,22.0,A,10/16/2012,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.714161189999999, -73.997837239999996)",0.424063015223,0.424063015223
41682406,-73.83248701,40.6994674,TIGER/ArcMap,5/15/2015,HAPPY BROTHER'S BAKERY,QUEENS,117-02    ,JAMAICA AVENUE                                    ,11418.0,7188463404,Bakery,09/19/2013,Violations were cited in the following area(s).,20F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,34.0,Z,09/19/2013,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.699467400000003, -73.832487009999994)",0.231269593654,0.231269593654
41683028,-73.98624232,40.74024301,TIGER/ArcMap,5/15/2015,FIKA,MANHATTAN,303,PARK AVENUE SOUTH,10010.0,9172620615,Café/Coffee/Tea,12/21/2012,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,12/21/2012,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.74024301, -73.986242320000002)",0.430826168647,0.430826168647
41683066,-73.9916089,40.75557457,TIGER/ArcMap,5/15/2015,TIR NA NOG BAR AND GRILL,MANHATTAN,315       ,WEST   39 STREET                                  ,10018.0,2127609072,Irish,02/23/2015,Violations were cited in the following area(s).,10F,Thawing procedures improper.,Not Critical,19.0,B,02/23/2015,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.75557457, -73.991608900000003)",0.135569446627,0.135569446627
41683394,-74.02226444,40.64506102,TIGER/ArcMap,5/15/2015,CAFE 58,BROOKLYN,169       ,58 STREET                                         ,11220.0,7184924300,American ,08/23/2012,Violations were cited in the following area(s).,10F,Thawing procedures improper.,Not Critical,57.0,P,08/23/2012,07/04/2015,Pre-permit (Operational) / Reopening Inspection,"(40.64506102, -74.022264440000001)",0.343842415766,0.343842415766
41683337,-73.99494948,40.67998777,TIGER/ArcMap,5/15/2015,AVLEE  GREEK KITCHEN,BROOKLYN,349       ,SMITH STREET                                      ,11231.0,7188555125,Greek,12/24/2014,Violations were cited in the following area(s).,15L,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,45.0,P,12/24/2014,07/04/2015,Smoke-Free Air Act / Initial Inspection,"(40.679987769999997, -73.994949480000002)",0.0223586682291,0.0223586682291
41683619,-73.99070714,40.73492482,TIGER/ArcMap,5/15/2015,PANERA BREAD COMPANY,MANHATTAN,10        ,UNION SQUARE EAST                                 ,10003.0,2126772862,American ,09/17/2012,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11.0,A,09/17/2012,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.734924820000003, -73.990707139999998)",0.0433255335826,0.0433255335826
41684054,-73.99316105,40.71960815,TIGER/ArcMap,5/15/2015,THE BOIL,MANHATTAN,139       ,CHRYSTIE STREET                                   ,10002.0,9173378006,Seafood,11/18/2014,Violations were cited in the following area(s).,22C,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,13.0,A,11/18/2014,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.719608149999999, -73.993161049999998)",0.452268171184,0.452268171184
41684056,-73.99315681,40.7349704,TIGER/ArcMap,5/15/2015,LA MAISON DU CROQUE MONSIEUR,MANHATTAN,17        ,EAST   13 STREET                                  ,10003.0,2126752227,French,12/21/2012,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,19.0,A,12/21/2012,07/04/2015,Pre-permit (Non-operational) / Initial Inspection,"(40.734970399999995, -73.993156810000002)",0.169513763169,0.169513763169
41684250,-73.98281748,40.73090096,TIGER/ArcMap,5/15/2015,JOEY PEPPERONIS PIZZA,MANHATTAN,222,1 AVENUE,10009.0,2124664646,Italian,08/21/2012,Violations were cited in the following area(s).,16B,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,36.0,A,06/17/2013,07/04/2015,Trans Fat / Re-inspection,"(40.73090096, -73.982817479999994)",0.456013769946,0.456013769946
41684638,-74.01012058,40.7159831,TIGER/ArcMap,5/15/2015,DIRTY BIRD TO GO,MANHATTAN,155       ,CHAMBERS STREET                                   ,10007.0,2129643284,Chicken,12/01/2012,Violations were cited in the following area(s).,15L,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,30.0,B,10/31/2014,07/04/2015,Smoke-Free Air Act / Initial Inspection,"(40.715983100000003, -74.010120580000006)",0.248791942225,0.248791942225
41684697,-73.98454639,40.73679556,TIGER/ArcMap,5/15/2015,THE STAND,MANHATTAN,239,3 AVENUE,10003.0,2126772600,American ,12/19/2014,Violations were cited in the following area(s).,20F,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,27.0,B,11/26/2013,07/04/2015,Trans Fat / Second Compliance Inspection,"(40.736795559999997, -73.984546390000006)",0.319252409609,0.319252409609
41685823,-74.00525886,40.71552763,TIGER/ArcMap,5/15/2015,ATOMIC WINGS,MANHATTAN,311       ,BROADWAY                                          ,10007.0,2125717667,Chicken,11/23/2013,Violations were cited in the following area(s).,22A,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,21.0,B,10/06/2014,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.715527629999997, -74.005258859999998)",0.184845331125,0.184845331125
